name,ring,quadrant,isNew,description,owner,Status
GithubAction,Assess,Tools-DevOps,TRUE,"CI/CD pipeline tool.
https://github.com/features/actions",Cao Zhejiong,"done, but docs not yet"
Playwright,Assess,Tools-DevOps,TRUE,"Web Test tool.
https://playwright.dev/java/","Cao Zhejiong, Wang Jiayi",on-going
WebAssembly (Wasm) ,Assess,Techniques,TRUE,"https://webassembly.org/
WASM Run time:  WAMR (C) , Wasmer (Rust)
https://github.com/bytecodealliance/wasm-micro-runtime
https://wasmer.io/",Ma Bing,open
Pytorch,Assess,Platforms,TRUE,"AI framework:
https://pytorch.org/",Donghui,open
Jest,Assess,Tools-DevOps,TRUE,"Java script testing framework:
https://jestjs.io/",Ma Bing,on-going
GraphQL,Hold,Techniques,TRUE,"API query language
https://graphql.org/",,
httpie & json-server,Hold,Tools-DevOps,TRUE,"HTTP Client mock:
https://github.com/httpie/httpie
REST Server mock:
https://github.com/typicode/json-server",,
fake-smtp-server,Hold,Tools-DevOps,TRUE,"SMTP server mock:
https://github.com/gessnerfl/fake-smtp-server",,
Camunda,Assess,Platforms,TRUE,"Process orchestrator:
https://camunda.com/",,
OpenAI,Assess,Tools-DevOps,TRUE,"for code scan & code generation:
https://openai.com/api/","Wangyi, zhong qiang",50% creating docs
Docker image multi-stage build,Assess,Tools-DevOps,TRUE,"Docker image multi-stage build:
https://docs.docker.com/build/building/multi-stage/","Cao Zhejiong, Wang Tianyi, Wang Jiayi","80%, tianyi on-going"
Spring Native/Quarkus,Assess,Tools-DevOps,TRUE,"Spring native:
https://docs.spring.io/spring-native/docs/current/reference/htmlsingle/
Reference:
https://waynerv.com/posts/how-to-reduce-docker-image-size/
https://blog.codecentric.de/spring-boot-graalvm-docker-heroku
https://maddevs.io/blog/spring-boot-vs-quarkus/","Guan xiang(Spring Native), Qin Qing(Quarkus)",Open
Uipath (RPA),Hold,Platforms,TRUE,https://www.uipath.com.cn/rpa/robotic-process-automation/,,
Lamda(AWS),Hold,Platforms,TRUE,"AWS serverless compute service:
https://aws.amazon.com/lambda/",,
Terraform,Assess,Tools-DevOps,TRUE,"Iac:
https://www.terraform.io/",Qiu limin,on-going
Cloudformation(AWS),Hold,Platforms,TRUE,"IaC:
https://aws.amazon.com/cloudformation/",,
arthas,Assess,Tools-DevOps,TRUE,"Java Diagnostic tool open sourced by Alibaba:
https://arthas.aliyun.com/doc/",,
flutter,Assess,Tools-DevOps,TRUE,"Cross-platform UI framework by google. Language: Dart
https://flutter.dev/",,
Jmockit,Hold,Tools-DevOps,TRUE,"automated testing mock toolkit for Java:
https://jmockit.github.io/",,
Golang,Hold,Language,TRUE,https://go.dev/,,
Rust,Hold,Language,TRUE,https://www.rust-lang.org/,,
